Date,005930.KS,000660.KS,006400.KS
2017-03-23,33226.9296875,43365.9921875,132163.09375
2017-03-24,32988.45703125,44305.81640625,132163.09375
2017-03-27,32749.990234375,45379.88671875,131187.734375
2017-03-28,32972.55859375,45469.390625,132163.09375
2017-03-29,33211.03125,45916.9296875,136064.578125
2017-03-30,33482.203125,45558.91015625,133138.453125
2017-03-31,32860.08203125,45200.87890625,134601.515625
2017-04-03,33051.515625,46364.46875,134601.515625
2017-04-04,33561.96484375,45648.421875,133138.453125
2017-04-05,33609.8203125,45021.875,135089.203125
2017-04-06,33370.54296875,44216.3046875,134113.84375
2017-04-07,33179.1171875,44574.3359375,134113.84375
2017-04-10,33450.3046875,43858.27734375,134113.84375
2017-04-11,33179.1171875,43724.015625,132650.78125
2017-04-12,33418.40234375,43858.27734375,129724.65625
2017-04-13,33833.1328125,44529.58203125,133626.15625
2017-04-14,33514.09375,44574.3359375,131675.421875
2017-04-17,33147.22265625,44037.29296875,130700.0390625
2017-04-18,33099.375,44932.359375,130212.3359375
2017-04-19,32620.83203125,44619.0859375,130700.0390625
2017-04-20,32126.326171875,46006.44140625,134601.515625
2017-04-21,32509.173828125,46543.4921875,134601.515625
2017-04-24,32892.0,46901.50390625,134601.515625
2017-04-25,34056.4609375,46901.50390625,136064.578125
2017-04-26,34136.2109375,48065.1015625,136552.265625
2017-04-27,34965.6796875,47975.58984375,132650.78125
2017-04-28,35587.81640625,48333.609375,134113.84375
2017-05-02,35811.1171875,49586.703125,134113.84375
2017-05-04,36305.609375,50034.24609375,135576.890625
2017-05-08,37501.96875,50929.30859375,138503.015625
2017-05-10,36369.4453125,49765.71484375,138015.328125
2017-05-11,36289.67578125,50481.765625,146306.015625
2017-05-12,36544.8984375,49497.20703125,149232.140625
2017-05-15,36768.21875,49765.71484375,150207.5
2017-05-16,36991.5390625,49497.20703125,149232.140625
2017-05-17,36959.6328125,48960.16015625,151182.859375
2017-05-18,36640.6015625,49855.2265625,147769.0625
2017-05-19,35667.57421875,48512.62890625,152158.25
2017-05-22,35970.63671875,50123.73828125,152645.90625
2017-05-23,35827.07421875,49318.19140625,153621.296875
2017-05-24,35795.17578125,49944.73828125,154108.96875
2017-05-25,36433.23046875,49944.73828125,152645.90625
2017-05-26,36752.2578125,51108.328125,155572.0625
2017-05-29,36385.375,51824.36328125,160936.609375
2017-05-30,35603.75390625,51376.83984375,160448.921875
2017-05-31,35651.60546875,51018.80859375,161424.28125
2017-06-01,35635.65234375,50481.765625,154596.671875
2017-06-02,36656.55078125,51108.328125,154596.671875
2017-06-05,36640.6015625,50213.26171875,154596.671875
2017-06-07,36130.15625,50571.27734375,157035.125
2017-06-08,36018.49609375,50750.30078125,155572.0625
2017-06-09,36768.21875,52182.40625,151670.546875
2017-06-12,36193.95703125,51466.34765625,144355.265625
2017-06-13,36209.90625,52629.93359375,147281.359375
2017-06-14,36178.01171875,53077.4765625,146793.6875
2017-06-15,36433.23046875,54241.04296875,148256.765625
2017-06-16,36353.46875,54151.54296875,143867.578125
2017-06-19,37135.09375,56210.19921875,151182.859375
2017-06-20,38395.265625,57284.28515625,152158.25
2017-06-21,37868.875,58000.34375,154108.96875
2017-06-22,38251.703125,58179.3515625,159961.234375
2017-06-23,37980.51953125,58179.3515625,160448.921875
2017-06-26,38506.93359375,60417.02734375,168251.921875
2017-06-27,38522.890625,61938.62890625,171665.71875
2017-06-28,38044.3359375,60148.49609375,166301.125
2017-06-29,38348.3046875,61312.078125,163862.75
2017-06-30,38028.3359375,60327.51171875,167276.515625
2017-07-03,37772.35546875,59342.94140625,165813.484375
2017-07-04,37596.3671875,58895.3984375,164350.4375
2017-07-05,38060.3359375,60864.5546875,172641.078125
2017-07-06,38444.29296875,60954.05859375,172641.078125
2017-07-07,38284.3125,59611.4609375,172641.078125
2017-07-10,38924.25390625,60238.0,171665.71875
2017-07-11,39196.23046875,61759.62109375,172153.40625
2017-07-12,39900.15625,61670.1171875,168251.921875
2017-07-13,40444.09375,63191.7265625,176542.59375
2017-07-14,40380.09765625,63639.24609375,176542.59375
2017-07-17,40508.09765625,63728.78515625,182394.828125
2017-07-18,40668.0859375,63370.7421875,184345.5625
2017-07-19,40588.0859375,63549.7421875,173616.4375
2017-07-20,40956.05078125,63818.26171875,173128.78125
2017-07-21,40860.06640625,63728.78515625,176542.59375
2017-07-24,40684.07421875,65339.890625,175567.21875
2017-07-25,39996.15234375,63012.71484375,177517.953125
2017-07-26,39868.16796875,59790.46875,167276.515625
2017-07-27,39836.16015625,61222.57421875,168739.59375
2017-07-28,38204.32421875,57821.33203125,161911.984375
2017-07-31,38556.28125,59074.4140625,164350.4375
2017-08-01,38876.26171875,58626.890625,167764.234375
2017-08-02,39196.23046875,60864.5546875,175079.53125
2017-08-03,38220.30859375,58626.890625,171178.046875
2017-08-04,38156.32421875,57284.28515625,177030.265625
2017-08-07,38060.3359375,57373.79296875,176542.59375
2017-08-08,38172.31640625,59342.94140625,173128.78125
2017-08-09,37020.4296875,57463.29296875,166301.125
2017-08-10,36716.44921875,57642.3125,166788.8125
2017-08-11,35692.57421875,54957.109375,164838.09375
2017-08-14,35996.52734375,58268.859375,172153.40625
2017-08-16,36956.4453125,59163.9296875,174104.125
2017-08-17,37628.37890625,59432.4453125,173616.4375
2017-08-18,37516.37890625,59969.484375,172153.40625
2017-08-21,37468.3828125,60148.49609375,174104.125
2017-08-22,37596.3671875,61043.56640625,180931.75
2017-08-23,37980.34375,60864.5546875,184345.5625
2017-08-24,38012.33984375,60954.05859375,186296.3125
2017-08-25,37612.359375,61222.57421875,186296.3125
2017-08-28,36876.453125,60775.0546875,182394.828125
2017-08-29,36860.44140625,60506.53125,180931.75
