Date,portfolio,Rolling_VaR_95,Violation_95,Rolling_VaR_99,Violation_99,var_moderate_threshold,var_high_threshold,risk_regime,suggested_exposure,reduce_signal
2022-01-25,-0.0278787188184554,-0.0246612221738203,True,-0.0318460315802564,False,-0.024632606628263,-0.024632606628263,HIGH,0.6,False
2022-01-26,0.0,-0.0246612221738203,False,-0.0318460315802564,False,-0.024632606628263,-0.024632606628263,HIGH,0.6,False
2022-01-27,-0.0512530432463086,-0.0249979971156132,True,-0.0322242062709487,True,-0.024632606628263,-0.02463546818281873,HIGH,0.6,False
2022-01-28,0.029170398721091,-0.0249979971156132,False,-0.0322242062709487,False,-0.024632606628263,-0.0246612221738203,HIGH,0.6,False
2022-02-03,0.0038844988827479,-0.0249979971156132,False,-0.0322242062709487,False,-0.024632606628263,-0.02469489966799959,HIGH,0.6,False
2022-02-04,0.0062174892636133,-0.0246612221738203,False,-0.0322242062709487,False,-0.024638329737374457,-0.02469489966799959,MODERATE,0.8,False
2022-02-07,-0.0195436465681927,-0.0246612221738203,False,-0.0322242062709487,False,-0.0246612221738203,-0.02469489966799959,MODERATE,0.8,False
2022-02-08,0.0,-0.024632606628263,False,-0.0322242062709487,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-02-09,0.0,-0.024632606628263,False,-0.0322242062709487,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-02-10,0.0285346509481621,-0.024632606628263,False,-0.0322242062709487,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-02-11,-0.008988088027745,-0.024632606628263,False,-0.0322242062709487,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-02-14,-0.0171726114918559,-0.024632606628263,False,-0.0322242062709487,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-02-15,-0.0116066303771119,-0.0242475811131357,False,-0.0322242062709487,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-02-16,0.0202312698231265,-0.0242475811131357,False,-0.0322242062709487,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-02-17,0.0175472880074582,-0.0242475811131357,False,-0.0322242062709487,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-02-18,-0.0081055590890235,-0.0242475811131357,False,-0.0322242062709487,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-02-21,0.0,-0.0242475811131357,False,-0.0322242062709487,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-02-22,0.0,-0.0242475811131357,False,-0.0322242062709487,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-02-23,0.0,-0.0242475811131357,False,-0.0322242062709487,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-02-24,-0.0607235272376824,-0.024632606628263,True,-0.0368894606603122,True,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-02-25,0.0177535810019231,-0.024632606628263,False,-0.0368894606603122,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-02-28,0.0,-0.024632606628263,False,-0.0368894606603122,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-03-02,0.0093591260513209,-0.024632606628263,False,-0.0368894606603122,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-03-03,0.0184607774030772,-0.024632606628263,False,-0.0368894606603122,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-03-04,0.0,-0.024632606628263,False,-0.0368894606603122,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-03-07,-0.0636756737748199,-0.0246612221738203,True,-0.0463996893354301,True,-0.0246612221738203,-0.02469489966799959,MODERATE,0.8,True
2022-03-08,-0.0163357953568594,-0.024632606628263,False,-0.0415524869668426,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-03-10,0.0,-0.024632606628263,False,-0.0415524869668426,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-03-11,0.0023894950319381,-0.024632606628263,False,-0.0415524869668426,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-03-14,-0.0087956910423541,-0.0242475811131357,False,-0.0415524869668426,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-03-15,0.0,-0.0242475811131357,False,-0.0415524869668426,False,-0.0246612221738203,-0.02469489966799959,LOW,1.0,False
2022-03-16,0.0009482320089933,-0.0242475811131357,False,-0.0415524869668426,False,-0.024638329737374457,-0.02469489966799959,LOW,1.0,False
2022-03-17,0.0,-0.0242475811131357,False,-0.0415524869668426,False,-0.024632606628263,-0.0246612221738203,LOW,1.0,False
2022-03-18,0.0323586917269239,-0.0242475811131357,False,-0.0415524869668426,False,-0.024632606628263,-0.0246612221738203,LOW,1.0,False
2022-03-21,-0.0037932288158647,-0.0242475811131357,False,-0.0415524869668426,False,-0.024632606628263,-0.02463546818281873,LOW,1.0,False
2022-03-22,0.0038457220135573,-0.0242475811131357,False,-0.0415524869668426,False,-0.024632606628263,-0.024632606628263,LOW,1.0,False
2022-03-23,0.008074022215157,-0.0242475811131357,False,-0.0415524869668426,False,-0.024632606628263,-0.024632606628263,LOW,1.0,False
2022-03-24,-0.0045456646155954,-0.0242475811131357,False,-0.0415524869668426,False,-0.024632606628263,-0.024632606628263,LOW,1.0,False
2022-03-25,-0.0007693898380807,-0.0238340236282537,False,-0.0415524869668426,False,-0.024632606628263,-0.024632606628263,LOW,1.0,False
2022-03-28,-0.0054438899320978,-0.0238340236282537,False,-0.0415524869668426,False,-0.024632606628263,-0.024632606628263,LOW,1.0,False
2022-03-29,0.0135666609358266,-0.0238340236282537,False,-0.0415524869668426,False,-0.024632606628263,-0.024632606628263,LOW,1.0,False
2022-03-30,0.0153765859900275,-0.0238340236282537,False,-0.0415524869668426,False,-0.024632606628263,-0.024632606628263,LOW,1.0,False
2022-03-31,0.0103709786590957,-0.0238340236282537,False,-0.0415524869668426,False,-0.024632606628263,-0.024632606628263,LOW,1.0,False
2022-04-01,-0.0131733898962985,-0.0238340236282537,False,-0.0415524869668426,False,-0.024632606628263,-0.024632606628263,LOW,1.0,False
2022-04-04,0.0026870826544764,-0.0238340236282537,False,-0.0415524869668426,False,-0.024632606628263,-0.024632606628263,LOW,1.0,False
2022-04-05,0.0065302790231985,-0.0238340236282537,False,-0.0415524869668426,False,-0.024632606628263,-0.024632606628263,LOW,1.0,False
