Date,sigma_1d,sigma_h,q_left,VaR_return_h,VaR_krw_h
2024-07-16,0.01527052954792852,0.03414594212158731,-1.6448536269514722,-0.05616507674436793,-561650.7674436793
2024-07-17,0.01614719611013595,0.036106228148284174,-1.6448536269514722,-0.05938946032524256,-593894.6032524256
2024-07-18,0.015951581092987267,0.035668819672519926,-1.6448536269514722,-0.05866998740742242,-586699.8740742243
2024-07-19,0.015250481398374158,0.03410111309636067,-1.6448536269514722,-0.0560913395596312,-560913.395596312
2024-07-22,0.015912015833949862,0.0355803490637649,-1.6448536269514722,-0.058524466205733115,-585244.6620573312
2024-07-23,0.015889387835256626,0.03552975132049205,-1.6448536269514722,-0.058441240324195204,-584412.4032419521
2024-07-24,0.015752716416201216,0.03522414473690279,-1.6448536269514722,-0.05793856222675816,-579385.6222675816
2024-07-25,0.016024065352985666,0.035830899405175115,-1.6448536269514722,-0.05893658484353564,-589365.8484353564
2024-07-26,0.01603592054177698,0.03585740841319859,-1.6448536269514722,-0.05898018828152993,-589801.8828152993
2024-07-29,0.01607678802961105,0.03594879089406521,-1.6448536269514722,-0.05913049908662322,-591304.9908662322
2024-07-30,0.01579747329067144,0.03532422415067864,-1.6448536269514722,-0.05810317821349054,-581031.7821349055
2024-07-31,0.0154164615808369,0.03447225606726518,-1.6448536269514722,-0.056701815421441024,-567018.1542144102
2024-08-01,0.015482993359399979,0.034621025646796186,-1.6448536269514722,-0.05694651960391264,-569465.1960391265
2024-08-02,0.017420229515627918,0.03895281738059226,-1.6448536269514722,-0.06407168294844552,-640716.8294844552
2024-08-05,0.025047639790708082,0.05600822524795188,-1.6448536269514722,-0.09212533243820867,-921253.3243820866
2024-08-06,0.026310067686610768,0.058831099839882314,-1.6448536269514722,-0.0967685479491746,-967685.4794917459
2024-08-07,0.02626729974366744,0.0587354678122032,-1.6448536269514722,-0.09661124726159388,-966112.4726159389
2024-08-08,0.026668627558110038,0.05963286408655827,-1.6448536269514722,-0.09808733277827955,-980873.3277827955
2024-08-09,0.027503398067188906,0.061499467690470724,-1.6448536269514722,-0.10115762248625565,-1011576.2248625564
2024-08-12,0.027867919567982704,0.0623145625455059,-1.6448536269514722,-0.10249833421486974,-1024983.3421486975
2024-08-13,0.02784252915630769,0.06225778785902387,-1.6448536269514722,-0.10240494816589074,-1024049.4816589074
2024-08-14,0.02791114364377563,0.062411214517243484,-1.6448536269514722,-0.10265731256113432,-1026573.1256113432
